674391,-3262811,2163038,-66444,-51112,27446
668382,-3263051,2154127,-66407,-50692,27714
679521,-3261293,2166736,-66532,-51032,27575
684480,-3259252,2158245,-66575,-50667,27786
683027,-3254261,2157786,-66498,-50894,27735
683445,-3261437,2160385,-66485,-51029,27419
675260,-3258159,2154855,-66657,-50721,27919
675931,-3267927,2160380,-66567,-51065,27574
677357,-3259483,2154610,-66525,-50658,27711
670460,-3262445,2156899,-66621,-50985,27526
681008,-3259413,2154869,-66440,-50677,27789
679319,-3258743,2160733,-66610,-50925,27681
681329,-3259967,2160618,-66480,-50862,27551
679292,-3260715,2154729,-66446,-50823,27814
673929,-3264414,2157178,-66768,-50924,27497
671842,-3262806,2154413,-66541,-50630,27712
674111,-3258068,2160171,-66599,-51055,27578
671840,-3265108,2160626,-66509,-50656,27684
681010,-3255290,2160932,-66683,-50932,27759
675734,-3256616,2157260,-66681,-50856,27553
680948,-3261647,2157992,-66541,-50727,27760
679506,-3263337,2160550,-66543,-50929,27550
675457,-3258346,2157724,-66475,-50623,27764
677684,-3260098,2157281,-66701,-51021,27550
679127,-3258397,2160982,-66477,-50693,27762
673792,-3261981,2157446,-66626,-50845,27682
675756,-3263222,2157331,-66629,-50857,27551
668284,-3258743,2157230,-66651,-50894,27763
673957,-3259968,2157192,-66610,-50848,27553
679156,-3262737,2154749,-66545,-50667,27709
683096,-3256714,2160647,-66730,-51022,27548
673643,-3263930,2157649,-66549,-50690,27736
679410,-3261022,2160687,-66533,-50927,27655
668714,-3263517,2153657,-66491,-50850,27477
680889,-3252806,2154889,-66672,-50827,27866
674379,-3262726,2159948,-66443,-51060,27447
682528,-3258096,2161450,-66571,-50707,27917
677787,-3262461,2160325,-66625,-51074,27523
671731,-3262695,2154401,-66673,-50551,27633
673865,-3260016,2160464,-66704,-51051,27706
682934,-3258394,2154709,-66474,-50611,27606
681387,-3264353,2154437,-66505,-50913,27576
681085,-3255306,2157711,-66680,-50882,27682
671884,-3256328,2154355,-66596,-50784,27791
678024,-3262606,2157026,-66445,-51027,27447
677169,-3261499,2157994,-66496,-50630,27841
674202,-3260346,2160125,-66522,-51057,27552
677453,-3261798,2154473,-66535,-50660,27606
677212,-3255021,2157935,-66550,-50784,27920
681046,-3264122,2163891,-66681,-50754,27496
673377,-3265549,2154880,-66338,-50253,27793
676716,-3256691,2164411,-66737,-50418,27814
688940,-3261012,2162665,-66419,-49811,28025
688346,-3255887,2162981,-66703,-49418,28001
715282,-3265480,2169798,-66570,-47666,28471
704141,-3265975,2162297,-66596,-46361,29266
716610,-3273124,2172460,-66462,-45963,29132
728080,-3258802,2164931,-66445,-44856,29481
710047,-3265637,2183623,-66406,-46450,28845
686078,-3259673,2163971,-66449,-45865,28809
481781,-3251665,2093837,-66135,-49864,27063
623882,-3239445,2206736,-68692,-58205,20844
585457,-3216538,2103752,-64914,-46585,25225
500534,-3285350,2215212,-67538,-56639,23130
591905,-3233011,2198845,-66470,-49977,24900
542044,-3227060,2126041,-66397,-49078,27389
484023,-3269700,2177402,-66835,-54935,19358
