1840225,-3298431,2488290,-67019,12655,62184
1851090,-3298094,2492185,-66716,12778,62341
1843860,-3296097,2485374,-67008,12689,62211
1850910,-3297844,2489264,-66806,12833,62419
1842271,-3297434,2481923,-66966,12669,62081
1843811,-3298245,2491809,-66757,12738,62342
1845936,-3299454,2476047,-66849,12676,62212
1843934,-3298428,2491639,-66800,12660,62263
1840156,-3295978,2485429,-66788,12783,62371
1853342,-3301813,2488633,-66683,12737,62027
1850956,-3297851,2486278,-66721,12730,62576
1847774,-3296502,2494552,-66874,12588,62052
1845581,-3298991,2479647,-66721,12859,62449
1851440,-3302989,2491700,-66824,12620,62050
1843810,-3298072,2482500,-66801,12816,62344
1840306,-3298508,2491523,-66756,12601,62342
1845644,-3297077,2488598,-66880,12858,62160
1847617,-3304875,2485749,-66707,12667,62340
1842580,-3302223,2484842,-66768,12535,62028
1845437,-3290381,2492021,-66940,12657,62472
1842016,-3297168,2482223,-67059,12673,62237
1844090,-3298508,2488380,-66709,12709,62187
1845656,-3301493,2485689,-66866,12679,62340
1847808,-3296400,2491462,-66740,12714,62055
1845683,-3297071,2482716,-66757,12576,62551
1847757,-3300848,2494578,-66853,12664,61999
1851219,-3300158,2476661,-66684,12804,62396
1843999,-3298716,2497688,-66933,12480,62181
1843715,-3300225,2485661,-66857,12843,62316
1838508,-3299722,2494409,-66803,12635,62211
1842210,-3299497,2485267,-66715,12770,62214
1849513,-3295233,2491848,-66787,12478,62340
1844061,-3298462,2488328,-66751,12786,62108
1843823,-3298330,2494899,-66758,12687,62341
1843992,-3302814,2485457,-66826,12609,62288
1840229,-3293988,2491433,-66817,12756,62240
1853086,-3297264,2488958,-66889,12512,62311
1833105,-3296521,2494011,-66736,12738,62137
1849440,-3297223,2485843,-66757,12505,62471
1836675,-3296374,2491037,-66913,12773,62057
1843900,-3300375,2479467,-66772,12636,62473
1844111,-3300795,2488190,-66895,12709,62001
1854553,-3293258,2483318,-66741,12841,62552
1836356,-3300460,2497622,-66895,12905,62160
1845641,-3299206,2485502,-66892,12909,62134
1836069,-3295520,2488809,-66834,12987,62530
1849307,-3301350,2494909,-66634,13195,61952
1823588,-3293216,2457134,-66789,16640,62800
1800369,-3303482,2498558,-66307,13257,61917
1686046,-3296714,2511520,-67976,6704,59126
1771533,-3278155,2437728,-65322,18516,63635
1799109,-3309616,2572909,-68048,9125,61073
1760189,-3288551,2456045,-66255,17972,61766
1734982,-3279570,2505043,-67108,10904,63250
1642978,-3318931,2478762,-66798,10965,57666
1565952,-3257912,2483056,-66948,8339,62358
1548107,-3277335,2486344,-67642,5859,60141
1580016,-3324310,2479459,-66029,13305,57159
1612878,-3250405,2508335,-67923,9605,63931
1542101,-3281836,2457259,-66076,14173,59880
1438733,-3297449,2516344,-67527,4781,57496
1465845,-3266452,2496619,-66972,8461,60297
1445766,-3274202,2465382,-67431,11396,59330
1446622,-3295874,2531504,-67004,8391,59060
1359863,-3266280,2476444,-67091,8800,58769
1286129,-3259560,2507124,-67799,5308,58444
1283733,-3284177,2472852,-66564,8951,57020
1267292,-3276806,2537413,-67604,6426,57770
1198201,-3245321,2473244,-67369,8963,59867
1145318,-3298864,2524424,-67246,4755,54508
1105903,-3260016,2492466,-67397,5475,57072
1079655,-3253703,2503573,-67167,6935,58266
1001324,-3283875,2505864,-67781,3318,54075
929215,-3253917,2481839,-66805,4961,56559
883804,-3258025,2535382,-67946,-874,55023
842909,-3267091,2477899,-66765,6556,54115
773995,-3249972,2521245,-67854,-317,55327
716704,-3255441,2503845,-67310,1465,53434
649396,-3246993,2511121,-68071,-1408,53585
608210,-3249736,2507068,-67310,621,53489
553223,-3259982,2512943,-67604,-1718,52178
514345,-3246572,2543242,-67854,-2872,53326
