832687,-3258811,2388237,-68045,-74638,26140
839410,-3255831,2512381,-68060,-74808,25385
829082,-3250274,2391016,-68174,-74824,26167
834136,-3261660,2512019,-68000,-74937,25358
825348,-3250120,2384759,-68218,-74778,26248
833884,-3259228,2515131,-68206,-74754,25227
830837,-3248954,2382002,-68218,-74908,26376
830337,-3259360,2511703,-68247,-74762,25150
832654,-3252317,2391399,-68102,-74842,26296
830435,-3259386,2508625,-68116,-74789,25230
830562,-3250844,2388503,-68142,-74700,26429
834107,-3261601,2508695,-68216,-74808,25123
834412,-3255439,2388396,-68163,-74721,26217
830161,-3254691,2508939,-68185,-74785,25440
828988,-3250124,2387966,-68262,-74771,26167
828312,-3255886,2511916,-68278,-74826,25386
830770,-3257724,2388130,-68261,-74703,26112
833918,-3259150,2509054,-68121,-74805,25386
836122,-3254112,2382369,-68292,-74702,26269
830157,-3254816,2515067,-68228,-74811,25360
828991,-3252302,2388050,-68187,-74771,26219
828670,-3262823,2511647,-68045,-74833,25230
830583,-3248836,2394599,-68218,-74803,26375
835586,-3260167,2515407,-68216,-74761,25331
823496,-3253456,2387912,-68149,-74820,26325
828942,-3258743,2511321,-67974,-74914,25127
828757,-3254335,2391433,-68292,-74818,26347
831859,-3260061,2512331,-68173,-74767,25489
837905,-3250785,2388605,-68228,-74584,26192
832079,-3255950,2508824,-68322,-74871,25306
837965,-3255343,2391733,-68209,-74713,26215
826507,-3252597,2511868,-68172,-74818,25467
826913,-3251075,2394281,-68357,-74707,26192
830258,-3252699,2511814,-68259,-74837,25308
837852,-3257375,2391896,-68178,-74635,26267
823303,-3253120,2505023,-68167,-75010,25311
830701,-3246681,2388307,-68206,-74855,26403
828981,-3261003,2511366,-67943,-74992,25178
827015,-3246669,2388088,-68247,-74759,26326
834001,-3252593,2502542,-68302,-74779,25231
832344,-3254137,2391680,-68204,-74683,26348
833826,-3259173,2515313,-68166,-74830,25384
830969,-3251326,2384812,-68224,-74808,26115
828587,-3258291,2508662,-68068,-74857,25362
834389,-3255442,2391526,-68119,-74696,26217
835423,-3255570,2512461,-68327,-74783,25462
830668,-3251053,2388099,-68401,-74700,26113
830284,-3259181,2505757,-68164,-74812,25387
824894,-3251944,2391390,-68412,-74719,26375
828500,-3253871,2508532,-68307,-74854,25256
832260,-3256201,2388623,-68304,-74630,26321
836055,-3256125,2505653,-68055,-74845,25231
832555,-3252131,2388440,-68103,-74789,26376
834014,-3261465,2508917,-68131,-74807,25280
828791,-3249926,2391356,-68222,-74743,26324
837795,-3254993,2511974,-68049,-74802,25203
821712,-3252453,2387675,-68229,-74811,26221
824655,-3255921,2511748,-68277,-74808,25387
823519,-3249122,2390782,-68209,-74718,26144
835629,-3257996,2512336,-68206,-74864,25436
830845,-3253445,2391195,-68148,-74756,26166
835603,-3260128,2512368,-68173,-74787,25410
835998,-3251925,2391764,-68281,-74701,26294
832238,-3258208,2505648,-68156,-74823,25282
828710,-3249861,2391395,-68311,-74741,26323
830276,-3257127,2511800,-68282,-74838,25255
832547,-3258691,2388458,-68094,-74712,26296
836046,-3253911,2505660,-68043,-74845,25257
825091,-3252155,2391272,-68279,-74800,26375
833965,-3259293,2515091,-68117,-74756,25228
826977,-3255510,2391281,-68296,-74810,26295
834082,-3252670,2505776,-68039,-74833,25389
832783,-3252536,2391138,-68232,-74920,26138
828396,-3258129,2511961,-68114,-74828,25439
834086,-3257472,2401025,-68264,-74615,26188
832079,-3255962,2512096,-68149,-74924,25464
835981,-3256271,2391790,-68260,-74624,26242
834133,-3263789,2508922,-68012,-74886,25332
830378,-3255185,2394736,-68342,-74646,26294
826729,-3257272,2511645,-68149,-74898,25335
830701,-3257757,2394532,-68176,-74805,26268
832033,-3255956,2515083,-68234,-74821,25307
832211,-3254053,2391810,-68339,-74757,26424
830446,-3254991,2505418,-68224,-74814,25205
827004,-3251064,2391295,-68139,-74735,26351
830270,-3261398,2508879,-68131,-74787,25360
832423,-3252184,2397594,-68320,-74710,26137
833912,-3259114,2509145,-68034,-74805,25465
836175,-3254304,2391587,-68202,-74704,26190
830310,-3257049,2505724,-68197,-74889,25413
830755,-3251167,2391241,-68226,-74754,26192
826509,-3261371,2511880,-68174,-74741,25360
832353,-3252044,2394686,-68280,-74734,26295
830487,-3255122,2508560,-68182,-74943,25282
830654,-3253283,2394494,-68195,-74728,26244
828491,-3255964,2505526,-68231,-74803,25310
