1495519,-3398335,2577806,-65388,19120,80868
1499050,-3396571,2485722,-65580,19269,81744
1501477,-3399872,2577519,-65212,19084,80581
1502079,-3387084,2486557,-65809,19261,82161
1499554,-3403057,2574491,-65276,19070,80658
1493985,-3398217,2482036,-65495,19034,81693
1502879,-3398249,2578142,-65257,19158,80867
1493856,-3389384,2488322,-65493,19010,81799
1498685,-3399883,2578607,-65408,19262,81154
1496111,-3395268,2481582,-65559,19021,81380
1498916,-3406761,2584636,-65175,19308,80997
1496093,-3395159,2481856,-65298,19020,81617
1500261,-3409562,2582206,-65469,19206,81305
1487306,-3392405,2481002,-65272,18907,81464
1504912,-3410546,2581122,-65142,19247,80603
1502256,-3389476,2489653,-65556,19206,82214
1499139,-3415904,2587438,-65219,19253,80732
1495728,-3388186,2482216,-65444,19026,81853
1501144,-3410470,2580942,-65272,19344,80525
1506314,-3389888,2486221,-65553,19079,81978
1509615,-3410714,2588453,-65202,19512,80941
1499616,-3390735,2485166,-65499,18876,81666
1509621,-3399674,2582137,-65319,19462,80996
1499984,-3399873,2481618,-65451,18922,81325
1509148,-3397095,2585794,-65538,19342,81332
1501657,-3393996,2472606,-65469,18993,81511
1504769,-3403954,2587544,-65156,19069,80838
1508694,-3391351,2476418,-65329,19138,81694
1497322,-3399632,2590351,-65353,18982,80890
1501143,-3406671,2485865,-65239,19177,81821
1501129,-3395323,2587090,-65413,19012,80708
1508084,-3397402,2483296,-65550,19199,81924
1503228,-3405421,2586857,-65284,19151,80394
1505795,-3400211,2490087,-65442,19342,82237
1504829,-3401707,2581149,-65229,19172,80709
1501400,-3400315,2479093,-65416,19200,81510
1504385,-3399149,2587845,-65356,19153,80968
1513626,-3409301,2486693,-65170,19577,81741
1507887,-3392241,2585023,-65366,19265,81049
1517460,-3402835,2486387,-65215,19709,81430
1512752,-3392526,2589003,-65422,19579,81231
1523954,-3410331,2484613,-65138,20272,81717
1527031,-3396208,2592872,-65399,20148,80942
1565566,-3395932,2500952,-65229,21796,82081
1555193,-3405985,2576653,-65489,24861,81068
1464556,-3386229,2464496,-65059,24581,82690
1500265,-3425055,2661037,-65793,16630,78970
1436085,-3342383,2420216,-65218,25988,84763
1429650,-3457344,2621158,-64798,20753,77748
1430880,-3368330,2525864,-66593,18674,81830
1375427,-3365633,2530201,-64583,24980,85406
1279273,-3455792,2539403,-65603,12230,73074
1320269,-3338380,2566637,-65662,21515,86121
1332379,-3389695,2474892,-65318,21008,81474
1291631,-3463311,2639779,-65077,18973,75135
1207309,-3326575,2428728,-65481,22148,87416
1182293,-3425348,2658089,-65934,11114,76446
1104357,-3408885,2438492,-64505,20251,80191
1151022,-3362007,2630725,-65956,15744,81651
1046520,-3387188,2496265,-65749,14826,79660
1010995,-3412221,2576239,-64174,16580,79259
998302,-3384048,2532183,-66818,9860,78555
956161,-3346366,2553283,-64647,21150,83996
917563,-3452575,2535285,-65451,9240,73715
825588,-3337929,2574557,-66042,14516,83010
824921,-3384440,2500139,-66003,10299,79616
755180,-3412760,2617628,-65406,11491,74665
721347,-3341302,2448579,-65323,13963,84293
686636,-3406600,2682532,-66632,3952,74012
607391,-3366734,2401989,-64438,15426,81739
647835,-3393407,2699239,-66500,4680,75571
520506,-3345362,2451511,-65830,10556,80594
543956,-3419128,2625192,-64475,9148,77510
429309,-3379135,2549049,-67182,1881,74235
448385,-3317848,2551874,-64373,14207,85368
317009,-3439013,2559718,-66527,-2034,68880
377266,-3342911,2594290,-64870,10799,82424
161395,-3337441,2481601,-66961,781,76632
254611,-3441888,2652671,-64447,3572,73505
82516,-3300833,2464762,-66588,2525,79686
112321,-3407593,2669554,-65549,-734,74977
-25029,-3354811,2455324,-65722,2491,75330
-8891,-3379249,2627981,-65815,-875,76461
